 A16905_26L_model                                                                 REF PER =   1.0 SECS


  LEVEL    RADIUS        RHO         VPV         VPH         VSV         VSH         ETA         QMU         QKAP
    67    952775.0    12890.84    11119.87    11119.87     3568.33     3568.33     1.00000       84.60     1327.70
    68    967036.0    12884.88    11115.58    11115.58     3565.33     3565.33     1.00000       84.60     1327.70
    69    981285.0    12878.83    11111.22    11111.22     3562.29     3562.29     1.00000       84.60     1327.70
    70    995522.0    12872.70    11106.81    11106.81     3559.21     3559.21     1.00000       84.60     1327.70
    71   1009747.0    12866.49    11102.34    11102.34     3556.08     3556.08     1.00000       84.60     1327.70
    72   1023958.0    12860.20    11097.81    11097.81     3552.91     3552.91     1.00000       84.60     1327.70
    73   1038157.0    12853.82    11093.22    11093.22     3549.71     3549.71     1.00000       84.60     1327.70
    74   1052343.0    12847.37    11088.57    11088.57     3546.46     3546.46     1.00000       84.60     1327.70
    75   1066516.0    12840.83    11083.86    11083.86     3543.17     3543.17     1.00000       84.60     1327.70
    76   1080675.0    12834.21    11079.09    11079.09     3539.84     3539.84     1.00000       84.60     1327.70
    77   1094821.0    12827.51    11074.27    11074.27     3536.46     3536.46     1.00000       84.60     1327.70
    78   1108953.0    12820.73    11069.38    11069.38     3533.05     3533.05     1.00000       84.60     1327.70
    79   1123071.0    12813.86    11064.44    11064.44     3529.60     3529.60     1.00000       84.60     1327.70
    80   1137176.0    12806.92    11059.45    11059.45     3526.10     3526.10     1.00000       84.60     1327.70
    81   1151266.0    12799.90    11054.39    11054.39     3522.57     3522.57     1.00000       84.60     1327.70
    82   1165342.0    12792.80    11049.28    11049.28     3519.00     3519.00     1.00000       84.60     1327.70
    83   1179404.0    12785.62    11044.11    11044.11     3515.39     3515.39     1.00000       84.60     1327.70
    84   1193451.0    12778.36    11038.88    11038.88     3511.73     3511.73     1.00000       84.60     1327.70
    85   1207483.0    12771.03    11033.60    11033.60     3508.04     3508.04     1.00000       84.60     1327.70
    86   1221500.0    12763.61    11028.26    11028.26     3504.31     3504.31     1.00000       84.60     1327.70
    87   1221500.0    12165.96    10355.72    10355.72        0.00        0.00     1.00000        0.00    57823.00
    88   1235286.0    12158.85    10347.71    10347.71        0.00        0.00     1.00000        0.00    57823.00
    89   1276580.0    12137.14    10323.57    10323.57        0.00        0.00     1.00000        0.00    57823.00
    90   1317777.0    12114.91    10299.20    10299.20        0.00        0.00     1.00000        0.00    57823.00
    91   1358876.0    12092.14    10274.58    10274.58        0.00        0.00     1.00000        0.00    57823.00
    92   1399874.0    12068.82    10249.71    10249.71        0.00        0.00     1.00000        0.00    57823.00
    93   1440773.0    12044.96    10224.55    10224.55        0.00        0.00     1.00000        0.00    57823.00
    94   1481569.0    12020.55    10199.09    10199.09        0.00        0.00     1.00000        0.00    57823.00
    95   1522262.0    11995.60    10173.32    10173.32        0.00        0.00     1.00000        0.00    57823.00
    96   1562851.0    11970.08    10147.21    10147.21        0.00        0.00     1.00000        0.00    57823.00
    97   1603334.0    11944.01    10120.75    10120.75        0.00        0.00     1.00000        0.00    57823.00
    98   1643710.0    11917.38    10093.93    10093.93        0.00        0.00     1.00000        0.00    57823.00
    99   1683977.0    11890.18    10066.72    10066.72        0.00        0.00     1.00000        0.00    57823.00
   100   1724133.0    11862.42    10039.11    10039.11        0.00        0.00     1.00000        0.00    57823.00
   101   1764177.0    11834.10    10011.08    10011.08        0.00        0.00     1.00000        0.00    57823.00
   102   1804108.0    11805.20     9982.63     9982.63        0.00        0.00     1.00000        0.00    57823.00
   103   1843923.0    11775.74     9953.73     9953.73        0.00        0.00     1.00000        0.00    57823.00
   104   1883620.0    11745.70     9924.37     9924.37        0.00        0.00     1.00000        0.00    57823.00
   105   1923199.0    11715.10     9894.54     9894.54        0.00        0.00     1.00000        0.00    57823.00
   106   1962655.0    11683.92     9864.23     9864.23        0.00        0.00     1.00000        0.00    57823.00
   107   2001989.0    11652.17     9833.42     9833.42        0.00        0.00     1.00000        0.00    57823.00
   108   2041198.0    11619.85     9802.11     9802.11        0.00        0.00     1.00000        0.00    57823.00
   109   2080279.0    11586.96     9770.27     9770.27        0.00        0.00     1.00000        0.00    57823.00
   110   2119230.0    11553.50     9737.91     9737.91        0.00        0.00     1.00000        0.00    57823.00
   111   2158050.0    11519.47     9705.00     9705.00        0.00        0.00     1.00000        0.00    57823.00
   112   2196736.0    11484.87     9671.54     9671.54        0.00        0.00     1.00000        0.00    57823.00
   113   2235287.0    11449.71     9637.52     9637.52        0.00        0.00     1.00000        0.00    57823.00
   114   2273698.0    11413.98     9602.94     9602.94        0.00        0.00     1.00000        0.00    57823.00
   115   2311969.0    11377.69     9567.77     9567.77        0.00        0.00     1.00000        0.00    57823.00
   116   2350097.0    11340.85     9532.02     9532.02        0.00        0.00     1.00000        0.00    57823.00
   117   2388080.0    11303.45     9495.68     9495.68        0.00        0.00     1.00000        0.00    57823.00
   118   2425915.0    11265.49     9458.75     9458.75        0.00        0.00     1.00000        0.00    57823.00
   119   2463600.0    11226.99     9421.21     9421.21        0.00        0.00     1.00000        0.00    57823.00
   120   2501132.0    11187.94     9383.06     9383.06        0.00        0.00     1.00000        0.00    57823.00
   121   2538509.0    11148.36     9344.29     9344.29        0.00        0.00     1.00000        0.00    57823.00
   122   2575729.0    11108.24     9304.91     9304.91        0.00        0.00     1.00000        0.00    57823.00
   123   2612789.0    11067.59     9264.91     9264.91        0.00        0.00     1.00000        0.00    57823.00
   124   2649686.0    11026.41     9224.28     9224.28        0.00        0.00     1.00000        0.00    57823.00
   125   2686418.0    10984.72     9183.02     9183.02        0.00        0.00     1.00000        0.00    57823.00
   126   2722982.0    10942.51     9141.14     9141.14        0.00        0.00     1.00000        0.00    57823.00
   127   2759377.0    10899.80     9098.63     9098.63        0.00        0.00     1.00000        0.00    57823.00
   128   2795599.0    10856.58     9055.49     9055.49        0.00        0.00     1.00000        0.00    57823.00
   129   2831646.0    10812.88     9011.71     9011.71        0.00        0.00     1.00000        0.00    57823.00
   130   2867515.0    10768.69     8967.31     8967.31        0.00        0.00     1.00000        0.00    57823.00
   131   2903204.0    10724.02     8922.28     8922.28        0.00        0.00     1.00000        0.00    57823.00
   132   2938711.0    10678.88     8876.63     8876.63        0.00        0.00     1.00000        0.00    57823.00
   133   2974032.0    10633.28     8830.35     8830.35        0.00        0.00     1.00000        0.00    57823.00
   134   3009166.0    10587.23     8783.45     8783.45        0.00        0.00     1.00000        0.00    57823.00
